video_id,timestamp,car_id,car_box,plate_box,transcript,confidence
./data/sample.mp4,114,1.0,"[2206, 1451, 2984, 2151]","[2494, 1946, 2696, 2035]",DT51VSU,0.18493555605440176
./data/sample.mp4,114,6.0,"[1078, 1197, 1714, 1677]","[1306, 1495, 1476, 1572]",GR15OCJ,0.4453850694545569
./data/sample.mp4,115,1.0,"[2207, 1453, 2984, 2151]","[2494, 1946, 2696, 2035]",WD51VSU,0.2915336590764784
./data/sample.mp4,115,6.0,"[1077, 1198, 1714, 1678]","[1306, 1495, 1476, 1572]",GR15OCJ,0.40320331024560035
./data/sample.mp4,116,1.0,"[2207, 1454, 2985, 2152]","[2492, 1949, 2699, 2040]",NT51VSU,0.42149598290287354
./data/sample.mp4,117,6.0,"[1073, 1203, 1715, 1685]","[1298, 1496, 1458, 1573]",GY15OCJ,0.40321192096306896
./data/sample.mp4,118,6.0,"[1071, 1206, 1715, 1689]","[1296, 1499, 1469, 1579]",GY15OCJ,0.2397646250587418
./data/sample.mp4,122,6.0,"[1067, 1213, 1714, 1699]","[1296, 1502, 1454, 1585]",GX15OCJ,0.13169655912745273
./data/sample.mp4,123,6.0,"[1067, 1214, 1714, 1700]","[1311, 1511, 1484, 1600]",GX15OGJ,0.2883265186839932
./data/sample.mp4,125,1.0,"[2210, 1489, 2987, 2155]","[2504, 1988, 2719, 2086]",MV51TSU,0.1889661585692352
./data/sample.mp4,126,1.0,"[2212, 1493, 2990, 2154]","[2511, 1989, 2723, 2089]",MJ51VSU,0.1571469957032053
./data/sample.mp4,126,6.0,"[1062, 1224, 1711, 1710]","[1296, 1510, 1465, 1599]",GX15OGJ,0.1688681075686771
./data/sample.mp4,127,6.0,"[1061, 1226, 1710, 1710]","[1296, 1510, 1465, 1599]",GX15OGJ,0.1688681075686771
./data/sample.mp4,129,1.0,"[2215, 1502, 3002, 2154]","[2514, 2003, 2726, 2097]",MU75ISU,0.39472616422470963
./data/sample.mp4,130,1.0,"[2221, 1505, 3007, 2155]","[2509, 2006, 2726, 2105]",MU51VSU,0.17625443321907744
./data/sample.mp4,131,1.0,"[2221, 1508, 3011, 2154]","[2515, 2015, 2722, 2110]",MV51VSU,0.30197255639945914
./data/sample.mp4,132,1.0,"[2224, 1513, 3016, 2156]","[2516, 2018, 2722, 2113]",MT51VSU,0.1492279378281091
./data/sample.mp4,133,1.0,"[2225, 1516, 3017, 2155]","[2516, 2018, 2722, 2113]",MT51VSU,0.1492279378281091
./data/sample.mp4,134,1.0,"[2227, 1519, 3023, 2155]","[2515, 2026, 2725, 2124]",MW51VSU,0.3204065018872196
./data/sample.mp4,135,1.0,"[2225, 1518, 3024, 2153]","[2516, 2031, 2728, 2126]",MT51VSU,0.20712982249112247
./data/sample.mp4,138,1.0,"[2222, 1530, 3024, 2152]","[2520, 2046, 2738, 2141]",MT51VSU,0.20780325032491004
./data/sample.mp4,139,1.0,"[2222, 1533, 3024, 2151]","[2520, 2046, 2738, 2141]",MT51VSU,0.20780325032491004
./data/sample.mp4,144,6.0,"[1029, 1265, 1704, 1762]","[1283, 1576, 1467, 1655]",GX15OGJ,0.2885157675968579
./data/sample.mp4,145,6.0,"[1028, 1266, 1704, 1763]","[1284, 1576, 1467, 1655]",GX15OGJ,0.2755982560527618
./data/sample.mp4,146,6.0,"[1027, 1267, 1702, 1766]","[1284, 1573, 1466, 1657]",GX15OGJ,0.7193391408757245
./data/sample.mp4,148,6.0,"[1026, 1274, 1703, 1775]","[1273, 1585, 1473, 1667]",GX15OGJ,0.6085953521144245
./data/sample.mp4,149,6.0,"[1025, 1275, 1704, 1779]","[1265, 1588, 1468, 1668]",GX15OGJ,0.20270593176904692
./data/sample.mp4,150,6.0,"[1024, 1279, 1703, 1783]","[1273, 1595, 1448, 1670]",GY15OGJ,0.19649940818733985
./data/sample.mp4,151,6.0,"[1024, 1280, 1703, 1785]","[1273, 1594, 1448, 1670]",GY15OGJ,0.3359489142970692
./data/sample.mp4,152,6.0,"[1022, 1282, 1703, 1788]","[1256, 1596, 1450, 1681]",GX15OGJ,0.32596570102717365
./data/sample.mp4,154,6.0,"[1017, 1286, 1701, 1794]","[1272, 1594, 1457, 1681]",GX15OGJ,0.34403612180485604
./data/sample.mp4,155,6.0,"[1016, 1288, 1700, 1797]","[1264, 1598, 1445, 1685]",GX15OGJ,0.2699390017269053
./data/sample.mp4,156,6.0,"[1015, 1290, 1700, 1800]","[1263, 1609, 1437, 1695]",GX15OGJ,0.387936730005711
./data/sample.mp4,157,6.0,"[1014, 1291, 1700, 1801]","[1263, 1609, 1437, 1695]",GX15OGJ,0.387936730005711
./data/sample.mp4,158,6.0,"[1013, 1295, 1700, 1804]","[1262, 1607, 1458, 1696]",GX15OGJ,0.2683445016347373
./data/sample.mp4,159,6.0,"[1011, 1298, 1698, 1807]","[1250, 1616, 1413, 1698]",GX15OGJ,0.25934964157102797
./data/sample.mp4,160,6.0,"[1010, 1301, 1698, 1811]","[1259, 1627, 1428, 1705]",GX15OGJ,0.3193166538177452
./data/sample.mp4,162,6.0,"[1006, 1307, 1696, 1820]","[1239, 1612, 1415, 1709]",GX15OGJ,0.27049908079365725
./data/sample.mp4,164,6.0,"[1004, 1310, 1696, 1825]","[1246, 1632, 1443, 1717]",GX15OGJ,0.3368714878810446
./data/sample.mp4,166,6.0,"[1004, 1316, 1696, 1836]","[1235, 1638, 1430, 1718]",GX15OGJ,0.3523044990390632
./data/sample.mp4,167,6.0,"[1002, 1319, 1694, 1841]","[1248, 1644, 1433, 1728]",GX15OGJ,0.14478944641555486
./data/sample.mp4,168,6.0,"[1002, 1321, 1694, 1845]","[1228, 1641, 1436, 1729]",GX15OGJ,0.3398359477251758
./data/sample.mp4,169,6.0,"[1002, 1322, 1694, 1847]","[1228, 1641, 1436, 1729]",GX15OGJ,0.3398359477251758
./data/sample.mp4,171,6.0,"[1000, 1327, 1693, 1854]","[1235, 1650, 1436, 1741]",GX15OCJ,0.37785442672324976
./data/sample.mp4,172,6.0,"[998, 1329, 1693, 1857]","[1237, 1651, 1436, 1743]",GX15OGJ,0.25340811889253717
./data/sample.mp4,173,6.0,"[997, 1331, 1693, 1861]","[1241, 1666, 1432, 1747]",GX15OGJ,0.3536686470267645
